                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7196,                 3.9132,                 1.9378,                0.00333,                      1,                0.94745,                0.67863,                0.67208,                 2.7214,                  1.094,                 0.0739,                 0.0029,                 0.0029
                      1,                 1.4358,                 2.3082,                 1.5826,                0.00333,                      1,                 0.7994,                0.45963,                 1.0161,                  2.579,                 1.3068,               0.046881,              0.0058805,              0.0058805
                      2,                 1.4764,                 1.9173,                 1.6221,                0.78785,                0.57769,                  0.732,                 0.3709,                 1.3935,                 2.2295,                 1.6944,               0.019841,              0.0088413,              0.0088413
                      3,                 1.5084,                 1.7917,                 1.6385,                0.36488,                0.77778,                0.41857,                0.19802,                 1.5775,                 1.8905,                 1.8245,               0.009901,               0.009901,               0.009901
                      4,                 1.4894,                 1.6715,                 1.6515,                0.46167,                0.48889,                0.40058,                0.17564,                 1.8269,                 2.2841,                 1.9574,               0.009901,               0.009901,               0.009901
                      5,                 1.5194,                 1.5219,                 1.6251,                0.75606,                0.71111,                0.76678,                0.32355,                 1.8352,                  1.845,                 2.0946,               0.009868,               0.009868,               0.009868
                      6,                 1.4256,                 1.3923,                 1.5908,                0.14519,                0.24444,                0.08918,                 0.0219,                 3.0924,                  2.936,                 3.2855,               0.009835,               0.009835,               0.009835
                      7,                 1.4872,                 1.3774,                  1.631,                0.35422,                0.17778,                0.16932,                0.04833,                 3.5222,                 2.5557,                 3.3672,               0.009802,               0.009802,               0.009802
                      8,                 1.4882,                 1.3164,                 1.5871,                0.92859,                0.86687,                0.95907,                0.59615,                  1.234,                 1.0392,                  1.465,               0.009769,               0.009769,               0.009769
                      9,                  1.409,                 1.2544,                 1.5419,                0.82152,                0.61389,                0.73406,                0.26108,                 2.0592,                 1.4101,                 2.1341,               0.009736,               0.009736,               0.009736
                     10,                 1.3701,                 1.1338,                 1.5028,                0.91191,                0.92027,                0.96406,                0.61449,                 1.1977,                0.84242,                 1.3889,               0.009703,               0.009703,               0.009703
                     11,                 1.3716,                 1.1255,                 1.5037,                0.90798,                0.87721,                0.95014,                0.56844,                 1.2791,                0.98148,                  1.436,                0.00967,                0.00967,                0.00967
                     12,                   1.34,                  1.038,                 1.4735,                0.97739,                0.96054,                 0.9748,                0.54057,                 1.5734,                 0.8804,                 1.5595,               0.009637,               0.009637,               0.009637
                     13,                 1.3476,                 1.0655,                 1.4848,                 0.7274,                0.68889,                0.68422,                0.18223,                 2.5619,                 1.5411,                 2.7333,               0.009604,               0.009604,               0.009604
                     14,                 1.3249,                 1.0024,                 1.4634,                0.99383,                0.88889,                0.97258,                0.58788,                 1.5075,                0.88805,                 1.5652,               0.009571,               0.009571,               0.009571
                     15,                 1.3396,                 1.0251,                 1.4854,                0.93173,                0.86667,                0.95375,                0.63753,                 1.1908,                0.82246,                 1.3497,               0.009538,               0.009538,               0.009538
                     16,                  1.264,                0.98788,                 1.4212,                0.95519,                0.94755,                0.97737,                0.69597,                 0.9753,                0.77522,                 1.2554,               0.009505,               0.009505,               0.009505
                     17,                 1.2974,                0.98533,                 1.4745,                0.91122,                0.97778,                0.97633,                0.64661,                 1.0551,                0.72628,                 1.2909,               0.009472,               0.009472,               0.009472
                     18,                  1.264,                0.87789,                 1.4058,                0.95209,                0.88329,                0.96336,                0.56002,                  1.292,                0.83375,                 1.4683,               0.009439,               0.009439,               0.009439
                     19,                 1.2865,                 0.9136,                 1.4639,                0.89277,                0.95556,                0.94516,                0.51368,                 1.4437,                0.80964,                 1.5204,               0.009406,               0.009406,               0.009406
                     20,                 1.2912,                0.96826,                 1.4363,                0.89034,                0.90221,                0.95667,                0.60101,                  1.186,                0.79555,                 1.3928,               0.009373,               0.009373,               0.009373
                     21,                 1.2635,                0.93843,                 1.4507,                0.85049,                0.88889,                0.91093,                0.57069,                 1.2724,                 1.0435,                 1.5048,                0.00934,                0.00934,                0.00934
                     22,                 1.2449,                 0.9234,                 1.4139,                0.82544,                0.84444,                0.91111,                0.53783,                 1.3706,                0.93669,                 1.5089,               0.009307,               0.009307,               0.009307
                     23,                 1.1952,                0.84044,                 1.3947,                0.97123,                0.95556,                0.99133,                0.75679,                0.84008,                0.62537,                 1.1397,               0.009274,               0.009274,               0.009274
                     24,                 1.2003,                0.84608,                 1.3775,                0.96748,                0.95556,                0.99288,                0.75364,                0.91599,                 0.8403,                 1.2012,               0.009241,               0.009241,               0.009241
                     25,                 1.2049,                 0.8372,                 1.3919,                0.95544,                0.95307,                0.97689,                0.76472,                0.80175,                0.68594,                 1.1085,               0.009208,               0.009208,               0.009208
                     26,                 1.2213,                0.85394,                 1.3981,                0.97044,                0.97778,                0.98247,                0.62403,                 1.1288,                0.72005,                 1.2607,               0.009175,               0.009175,               0.009175
                     27,                 1.2381,                0.84397,                 1.4071,                0.93148,                      1,                 0.9925,                 0.7496,                0.84261,                 0.7099,                 1.1193,               0.009142,               0.009142,               0.009142
                     28,                 1.1705,                0.80237,                 1.3543,                0.99183,                0.97778,                0.99265,                0.71508,                0.91754,                0.54373,                 1.1849,               0.009109,               0.009109,               0.009109
                     29,                 1.0982,                0.73576,                 1.3143,                0.89811,                0.93333,                0.97334,                 0.7372,                0.97198,                0.65476,                 1.1876,               0.009076,               0.009076,               0.009076
                     30,                 1.1396,                0.74028,                 1.3464,                0.95672,                0.95556,                0.98595,                 0.7557,                0.86526,                0.54837,                 1.0959,               0.009043,               0.009043,               0.009043
                     31,                 1.1596,                0.78779,                 1.3875,                0.98924,                0.93333,                0.98982,                0.69531,                 1.0695,                0.63268,                 1.2287,                0.00901,                0.00901,                0.00901
                     32,                 1.1381,                0.77288,                 1.3441,                0.97656,                      1,                0.99326,                0.75326,                0.88662,                0.46647,                 1.1278,               0.008977,               0.008977,               0.008977
                     33,                 1.1555,                0.76603,                  1.351,                0.99822,                0.97778,                0.99457,                0.78223,                 0.8595,                0.46654,                 1.1158,               0.008944,               0.008944,               0.008944
                     34,                 1.1733,                 0.7618,                 1.3665,                  0.913,                0.97778,                0.96868,                0.65074,                 1.0278,                0.60763,                  1.262,               0.008911,               0.008911,               0.008911
                     35,                 1.1285,                0.73459,                 1.3479,                0.97821,                      1,                0.99457,                0.72373,                0.90039,                0.60232,                 1.1584,               0.008878,               0.008878,               0.008878
                     36,                 1.1238,                0.72611,                 1.3229,                0.97988,                0.95556,                0.99098,                0.71941,                0.92837,                0.54145,                 1.1655,               0.008845,               0.008845,               0.008845
                     37,                 1.1557,                0.76755,                 1.3441,                      1,                0.97401,                0.99375,                0.70405,                0.98922,                0.52995,                 1.2068,               0.008812,               0.008812,               0.008812
                     38,                 1.0688,                0.66748,                 1.2905,                0.97632,                      1,                0.99413,                0.76331,                0.84564,                0.48812,                 1.1114,               0.008779,               0.008779,               0.008779
                     39,                 1.0891,                0.69083,                 1.3237,                0.99621,                      1,                  0.995,                0.76562,                0.83572,                0.49193,                 1.1284,               0.008746,               0.008746,               0.008746
                     40,                 1.0394,                0.69778,                  1.293,                      1,                0.97076,                0.99415,                0.74248,                0.90042,                0.48711,                 1.1704,               0.008713,               0.008713,               0.008713
                     41,                 1.0769,                0.67238,                 1.2854,                0.93377,                0.93999,                0.97015,                 0.6279,                  1.123,                0.71068,                 1.2613,                0.00868,                0.00868,                0.00868
                     42,                 1.0506,                0.70254,                 1.2945,                0.85173,                    0.8,                0.86351,                0.50142,                 1.4298,                0.95757,                 1.4592,               0.008647,               0.008647,               0.008647
                     43,                  1.066,                0.67613,                 1.2996,                0.95546,                      1,                0.99415,                0.77595,                0.81126,                0.46091,                 1.0796,               0.008614,               0.008614,               0.008614
                     44,                 1.0436,                 0.6559,                  1.278,                0.99539,                0.97778,                0.99415,                  0.788,                0.77211,                  0.464,                 1.0722,               0.008581,               0.008581,               0.008581
                     45,                 1.0348,                0.65743,                 1.2797,                0.95249,                0.97778,                0.99201,                0.79295,                0.77123,                0.44619,                 1.0473,               0.008548,               0.008548,               0.008548
                     46,                 1.0559,                0.68781,                 1.3071,                0.97393,                0.97778,                0.99065,                0.66987,                 1.0193,                0.59627,                 1.2399,               0.008515,               0.008515,               0.008515
                     47,                 1.0424,                0.66152,                   1.29,                0.85936,                0.95556,                0.96476,                0.62887,                 1.1152,                0.66596,                 1.2952,               0.008482,               0.008482,               0.008482
                     48,                 1.0123,                0.65232,                 1.2721,                0.95653,                      1,                0.99413,                0.71623,                0.87366,                0.55395,                 1.1465,               0.008449,               0.008449,               0.008449
                     49,                  1.034,                0.65719,                 1.2763,                0.93184,                      1,                 0.9908,                0.74711,                0.85253,                0.50235,                 1.0812,               0.008416,               0.008416,               0.008416
                     50,                0.98308,                0.63305,                  1.257,                      1,                 0.9964,                  0.995,                0.80706,                0.76451,                0.41766,                 1.0309,               0.008383,               0.008383,               0.008383
                     51,                 1.0165,                0.64809,                  1.258,                0.99742,                      1,                  0.995,                0.76427,                0.92337,                0.48869,                 1.1259,                0.00835,                0.00835,                0.00835
                     52,                 1.0252,                0.65471,                 1.2888,                0.91607,                0.93333,                0.95811,                0.56389,                  1.405,                0.76278,                 1.3989,               0.008317,               0.008317,               0.008317
                     53,                 1.0086,                0.63091,                 1.2442,                0.95193,                0.88029,                 0.9596,                0.63416,                 1.1022,                0.67931,                   1.29,               0.008284,               0.008284,               0.008284
                     54,                 1.0336,                0.64858,                 1.2589,                0.97774,                0.97593,                0.98831,                0.67297,                 1.0068,                0.65179,                 1.2294,               0.008251,               0.008251,               0.008251
                     55,                0.95649,                0.61421,                 1.2336,                0.97819,                0.99694,                0.99457,                0.81692,                0.73385,                0.46266,                 1.0481,               0.008218,               0.008218,               0.008218
                     56,                 1.0332,                0.64657,                 1.2738,                0.97269,                0.97778,                 0.9902,                0.73744,                0.86732,                0.52303,                 1.1608,               0.008185,               0.008185,               0.008185
                     57,                 1.0109,                0.63869,                 1.2805,                      1,                0.99837,                  0.995,                0.81966,                0.72765,                0.43127,                 1.0232,               0.008152,               0.008152,               0.008152
                     58,                0.98867,                0.60636,                 1.2461,                0.97251,                      1,                0.99457,                0.80496,                0.80749,                0.42969,                 1.0602,               0.008119,               0.008119,               0.008119
                     59,                 1.0181,                0.64246,                  1.259,                0.99797,                      1,                  0.995,                0.76551,                0.79632,                0.40039,                 1.0457,               0.008086,               0.008086,               0.008086
                     60,                0.94219,                0.58031,                 1.2287,                0.99866,                      1,                  0.995,                0.80454,                0.73283,                0.38941,                 1.0307,               0.008053,               0.008053,               0.008053
                     61,                0.95868,                0.58859,                 1.2236,                      1,                0.99972,                  0.995,                0.70942,                0.92938,                0.49958,                 1.1623,                0.00802,                0.00802,                0.00802
                     62,                0.97508,                0.62566,                 1.2437,                0.97821,                0.99746,                0.99457,                0.75856,                0.84875,                0.43988,                 1.1225,               0.007987,               0.007987,               0.007987
                     63,                0.97437,                0.60946,                 1.2606,                0.97588,                0.97778,                0.98967,                0.76754,                0.81279,                0.43682,                 1.1041,               0.007954,               0.007954,               0.007954
                     64,                 1.0086,                0.62158,                 1.2731,                      1,                 0.9987,                  0.995,                0.77975,                0.83019,                0.45169,                 1.1118,               0.007921,               0.007921,               0.007921
                     65,                0.98853,                0.60704,                 1.2474,                0.98689,                0.97778,                0.99337,                 0.8418,                0.67558,                0.41716,                 1.0154,               0.007888,               0.007888,               0.007888
                     66,                0.92468,                0.60334,                 1.2268,                      1,                0.99851,                  0.995,                0.82381,                0.70232,                0.41699,                 1.0343,               0.007855,               0.007855,               0.007855
                     67,                0.94623,                0.61128,                 1.2281,                0.99788,                      1,                  0.995,                0.82304,                0.71527,                0.41065,                 1.0388,               0.007822,               0.007822,               0.007822
                     68,                0.91714,                 0.5744,                 1.2135,                0.99624,                      1,                  0.995,                0.80181,                0.69182,                0.40119,                0.99906,               0.007789,               0.007789,               0.007789
                     69,                0.94121,                0.62946,                 1.2295,                0.99854,                      1,                  0.995,                0.79094,                0.78061,                0.40797,                 1.0448,               0.007756,               0.007756,               0.007756
